term_str,n,p,i,n_chars,max_pos,n_pos,cat_pos,stop,p_stem
evolutions,1,7.29250986311959e-06,17.065153136954358,10,NNS,1,{'NNS'},0,evolut
reformations,1,7.29250986311959e-06,17.065153136954358,12,NNS,1,{'NNS'},0,reform
revisions,1,7.29250986311959e-06,17.065153136954358,9,NNS,1,{'NNS'},0,revis
embedded,1,7.29250986311959e-06,17.065153136954358,8,JJ,1,{'JJ'},0,embed
embittered,1,7.29250986311959e-06,17.065153136954358,10,JJ,1,{'JJ'},0,embitt
travail,1,7.29250986311959e-06,17.065153136954358,7,NN,1,{'NN'},0,travail
unfurl,1,7.29250986311959e-06,17.065153136954358,6,VBP,1,{'VBP'},0,unfurl
devastated,1,7.29250986311959e-06,17.065153136954358,10,JJ,1,{'JJ'},0,devast
thirsting,1,7.29250986311959e-06,17.065153136954358,9,VBG,1,{'VBG'},0,thirst
day-to-day,1,7.29250986311959e-06,17.065153136954358,10,JJ,1,{'JJ'},0,day-to-day
desolated,1,7.29250986311959e-06,17.065153136954358,9,JJ,1,{'JJ'},0,desol
fruition,1,7.29250986311959e-06,17.065153136954358,8,NN,1,{'NN'},0,fruition
overturning,1,7.29250986311959e-06,17.065153136954358,11,VBG,1,{'VBG'},0,overturn
catalogue,1,7.29250986311959e-06,17.065153136954358,9,NN,1,{'NN'},0,catalogu
definitions,1,7.29250986311959e-06,17.065153136954358,11,NNS,1,{'NNS'},0,definit
heaps,1,7.29250986311959e-06,17.065153136954358,5,NNS,1,{'NNS'},0,heap
wreckage,1,7.29250986311959e-06,17.065153136954358,8,NN,1,{'NN'},0,wreckag
determinations,1,7.29250986311959e-06,17.065153136954358,14,NNS,1,{'NNS'},0,determin
reflex,1,7.29250986311959e-06,17.065153136954358,6,NN,1,{'NN'},0,reflex
bottoms,1,7.29250986311959e-06,17.065153136954358,7,NNS,1,{'NNS'},0,bottom
mature,1,7.29250986311959e-06,17.065153136954358,6,JJ,1,{'JJ'},0,matur
comities,1,7.29250986311959e-06,17.065153136954358,8,NNS,1,{'NNS'},0,comiti
self-reliant,1,7.29250986311959e-06,17.065153136954358,12,JJ,1,{'JJ'},0,self-reli
mingled,1,7.29250986311959e-06,17.065153136954358,7,VBD,1,{'VBD'},0,mingl
intimacy,1,7.29250986311959e-06,17.065153136954358,8,NN,1,{'NN'},0,intimaci
platforms,1,7.29250986311959e-06,17.065153136954358,9,NNS,1,{'NNS'},0,platform
interpreters,1,7.29250986311959e-06,17.065153136954358,12,NNS,1,{'NNS'},0,interpret
cargoes,1,7.29250986311959e-06,17.065153136954358,7,NNS,1,{'NNS'},0,cargo
partisans,1,7.29250986311959e-06,17.065153136954358,9,NNS,1,{'NNS'},0,partisan
notably,1,7.29250986311959e-06,17.065153136954358,7,RB,1,{'RB'},0,notabl
bidding,1,7.29250986311959e-06,17.065153136954358,7,VBG,1,{'VBG'},0,bid
transcended,1,7.29250986311959e-06,17.065153136954358,11,VBD,1,{'VBD'},0,transcend
galaxy,1,7.29250986311959e-06,17.065153136954358,6,NN,1,{'NN'},0,galaxi
fallacy,1,7.29250986311959e-06,17.065153136954358,7,NN,1,{'NN'},0,fallaci
luring,1,7.29250986311959e-06,17.065153136954358,6,VBG,1,{'VBG'},0,lure
tangible,1,7.29250986311959e-06,17.065153136954358,8,JJ,1,{'JJ'},0,tangibl
surge,1,7.29250986311959e-06,17.065153136954358,5,NN,1,{'NN'},0,surg
internationality,1,7.29250986311959e-06,17.065153136954358,16,NN,1,{'NN'},0,internation
questioning,1,7.29250986311959e-06,17.065153136954358,11,NN,1,{'NN'},0,question
slope,1,7.29250986311959e-06,17.065153136954358,5,NN,1,{'NN'},0,slope
withdrew,1,7.29250986311959e-06,17.065153136954358,8,VBD,1,{'VBD'},0,withdrew
quick,1,7.29250986311959e-06,17.065153136954358,5,RB,1,{'RB'},0,quick
universality,1,7.29250986311959e-06,17.065153136954358,12,NN,1,{'NN'},0,univers
mediation,1,7.29250986311959e-06,17.065153136954358,9,NN,1,{'NN'},0,mediat
instructed,1,7.29250986311959e-06,17.065153136954358,10,JJ,1,{'JJ'},0,instruct
beware,1,7.29250986311959e-06,17.065153136954358,6,VB,1,{'VB'},0,bewar
wrecked,1,7.29250986311959e-06,17.065153136954358,7,VBN,1,{'VBN'},0,wreck
intervening,1,7.29250986311959e-06,17.065153136954358,11,JJ,1,{'JJ'},0,interven
unrecompensed,1,7.29250986311959e-06,17.065153136954358,13,JJ,1,{'JJ'},0,unrecompens
refresh,1,7.29250986311959e-06,17.065153136954358,7,VB,1,{'VB'},0,refresh
reasserted,1,7.29250986311959e-06,17.065153136954358,10,VBN,1,{'VBN'},0,reassert
confines,1,7.29250986311959e-06,17.065153136954358,8,NNS,1,{'NNS'},0,confin
detached,1,7.29250986311959e-06,17.065153136954358,8,JJ,1,{'JJ'},0,detach
thereto,1,7.29250986311959e-06,17.065153136954358,7,NN,1,{'NN'},0,thereto
translating,1,7.29250986311959e-06,17.065153136954358,11,VBG,1,{'VBG'},0,translat
accurately,1,7.29250986311959e-06,17.065153136954358,10,RB,1,{'RB'},0,accur
manifests,1,7.29250986311959e-06,17.065153136954358,9,VBZ,1,{'VBZ'},0,manifest
tensely,1,7.29250986311959e-06,17.065153136954358,7,RB,1,{'RB'},0,tens
bearings,1,7.29250986311959e-06,17.065153136954358,8,NNS,1,{'NNS'},0,bear
commodities,1,7.29250986311959e-06,17.065153136954358,11,NNS,1,{'NNS'},0,commod
condemning,1,7.29250986311959e-06,17.065153136954358,10,VBG,1,{'VBG'},0,condemn
crumble,1,7.29250986311959e-06,17.065153136954358,7,VB,1,{'VB'},0,crumbl
substantive,1,7.29250986311959e-06,17.065153136954358,11,NN,1,{'NN'},0,substant
forward-looking,1,7.29250986311959e-06,17.065153136954358,15,JJ,1,{'JJ'},0,forward-look
differentiation,1,7.29250986311959e-06,17.065153136954358,15,NN,1,{'NN'},0,differenti
approximate,1,7.29250986311959e-06,17.065153136954358,11,VB,1,{'VB'},0,approxim
disarmament,1,7.29250986311959e-06,17.065153136954358,11,NN,1,{'NN'},0,disarma
crushing,1,7.29250986311959e-06,17.065153136954358,8,NN,1,{'NN'},0,crush
distinctively,1,7.29250986311959e-06,17.065153136954358,13,JJ,1,{'JJ'},0,distinct
adjective,1,7.29250986311959e-06,17.065153136954358,9,JJ,1,{'JJ'},0,adject
monopoly,1,7.29250986311959e-06,17.065153136954358,8,NN,1,{'NN'},0,monopoli
slogans,1,7.29250986311959e-06,17.065153136954358,7,NNS,1,{'NNS'},0,slogan
desires,1,7.29250986311959e-06,17.065153136954358,7,NNS,1,{'NNS'},0,desir
cooperating,1,7.29250986311959e-06,17.065153136954358,11,VBG,1,{'VBG'},0,cooper
regularity,1,7.29250986311959e-06,17.065153136954358,10,NN,1,{'NN'},0,regular
suggesting,1,7.29250986311959e-06,17.065153136954358,10,VBG,1,{'VBG'},0,suggest
firmament,1,7.29250986311959e-06,17.065153136954358,9,NN,1,{'NN'},0,firmament
essentials,1,7.29250986311959e-06,17.065153136954358,10,NNS,1,{'NNS'},0,essenti
reassurance,1,7.29250986311959e-06,17.065153136954358,11,NN,1,{'NN'},0,reassur
extinction,1,7.29250986311959e-06,17.065153136954358,10,NN,1,{'NN'},0,extinct
old-fashioned,1,7.29250986311959e-06,17.065153136954358,13,JJ,1,{'JJ'},0,old-fashion
1925,1,7.29250986311959e-06,17.065153136954358,4,CD,1,{'CD'},0,1925
plight,1,7.29250986311959e-06,17.065153136954358,6,VBD,1,{'VBD'},0,plight
broadening,1,7.29250986311959e-06,17.065153136954358,10,VBG,1,{'VBG'},0,broaden
never-to-be-neglected,1,7.29250986311959e-06,17.065153136954358,21,JJ,1,{'JJ'},0,never-to-be-neglect
impassioned,1,7.29250986311959e-06,17.065153136954358,11,VBN,1,{'VBN'},0,impass
shines,1,7.29250986311959e-06,17.065153136954358,6,VBZ,1,{'VBZ'},0,shine
renunciation,1,7.29250986311959e-06,17.065153136954358,12,NN,1,{'NN'},0,renunci
envious,1,7.29250986311959e-06,17.065153136954358,7,JJ,1,{'JJ'},0,enviou
reversion,1,7.29250986311959e-06,17.065153136954358,9,NN,1,{'NN'},0,revers
holy,1,7.29250986311959e-06,17.065153136954358,4,NNP,1,{'NNP'},0,holi
sets,1,7.29250986311959e-06,17.065153136954358,4,VBZ,1,{'VBZ'},0,set
implore,1,7.29250986311959e-06,17.065153136954358,7,VB,1,{'VB'},0,implor
hearthfire,1,7.29250986311959e-06,17.065153136954358,10,NN,1,{'NN'},0,hearthfir
single-mindedness,1,7.29250986311959e-06,17.065153136954358,17,NN,1,{'NN'},0,single-minded
pave,1,7.29250986311959e-06,17.065153136954358,4,VB,1,{'VB'},0,pave
undone,1,7.29250986311959e-06,17.065153136954358,6,RB,1,{'RB'},0,undon
engrossed,1,7.29250986311959e-06,17.065153136954358,9,VBN,1,{'VBN'},0,engross
selective,1,7.29250986311959e-06,17.065153136954358,9,JJ,1,{'JJ'},0,select
aloofness,1,7.29250986311959e-06,17.065153136954358,9,JJ,1,{'JJ'},0,aloof
dares,1,7.29250986311959e-06,17.065153136954358,5,VBZ,1,{'VBZ'},0,dare
diseases,1,7.29250986311959e-06,17.065153136954358,8,NNS,1,{'NNS'},0,diseas
eradication,1,7.29250986311959e-06,17.065153136954358,11,NN,1,{'NN'},0,erad
continually,1,7.29250986311959e-06,17.065153136954358,11,RB,1,{'RB'},0,continu
infinitely,1,7.29250986311959e-06,17.065153136954358,10,RB,1,{'RB'},0,infinit
accepts,1,7.29250986311959e-06,17.065153136954358,7,VBZ,1,{'VBZ'},0,accept
supergovernment,1,7.29250986311959e-06,17.065153136954358,15,NN,1,{'NN'},0,supergovern
interlocked,1,7.29250986311959e-06,17.065153136954358,11,VBN,1,{'VBN'},0,interlock
manifesting,1,7.29250986311959e-06,17.065153136954358,11,VBG,1,{'VBG'},0,manifest
firmer,1,7.29250986311959e-06,17.065153136954358,6,JJR,1,{'JJR'},0,firmer
haunt,1,7.29250986311959e-06,17.065153136954358,5,VBP,1,{'VBP'},0,haunt
rearranged,1,7.29250986311959e-06,17.065153136954358,10,VBN,1,{'VBN'},0,rearrang
conscientiously,1,7.29250986311959e-06,17.065153136954358,15,RB,1,{'RB'},0,conscienti
superficial,1,7.29250986311959e-06,17.065153136954358,11,JJ,1,{'JJ'},0,superfici
appraisal,1,7.29250986311959e-06,17.065153136954358,9,NN,1,{'NN'},0,apprais
observers,1,7.29250986311959e-06,17.065153136954358,9,NNS,1,{'NNS'},0,observ
disorders,1,7.29250986311959e-06,17.065153136954358,9,NNS,1,{'NNS'},0,disord
neglected,1,7.29250986311959e-06,17.065153136954358,9,JJ,1,{'JJ'},0,neglect
lure,1,7.29250986311959e-06,17.065153136954358,4,NN,1,{'NN'},0,lure
rid,1,7.29250986311959e-06,17.065153136954358,3,VB,1,{'VB'},0,rid
demilitarize,1,7.29250986311959e-06,17.065153136954358,12,VB,1,{'VB'},0,demilitar
militarize,1,7.29250986311959e-06,17.065153136954358,10,VB,1,{'VB'},0,militar
target,1,7.29250986311959e-06,17.065153136954358,6,NN,1,{'NN'},0,target
missiles,1,7.29250986311959e-06,17.065153136954358,8,NNS,1,{'NNS'},0,missil
killing,1,7.29250986311959e-06,17.065153136954358,7,VBG,1,{'VBG'},0,kill
retaliate,1,7.29250986311959e-06,17.065153136954358,9,VB,1,{'VB'},0,retali
discussing,1,7.29250986311959e-06,17.065153136954358,10,VBG,1,{'VBG'},0,discuss
wavering,1,7.29250986311959e-06,17.065153136954358,8,NN,1,{'NN'},0,waver
capability,1,7.29250986311959e-06,17.065153136954358,10,NN,1,{'NN'},0,capabl
awesome,1,7.29250986311959e-06,17.065153136954358,7,JJ,1,{'JJ'},0,awesom
buildup,1,7.29250986311959e-06,17.065153136954358,7,NN,1,{'NN'},0,buildup
scorn,1,7.29250986311959e-06,17.065153136954358,5,VBZ,1,{'VBZ'},0,scorn
heartening,1,7.29250986311959e-06,17.065153136954358,10,NN,1,{'NN'},0,hearten
installed,1,7.29250986311959e-06,17.065153136954358,9,VBN,1,{'VBN'},0,instal
cared,1,7.29250986311959e-06,17.065153136954358,5,VBN,1,{'VBN'},0,care
obsolete,1,7.29250986311959e-06,17.065153136954358,8,VBP,1,{'VBP'},0,obsolet
heartened,1,7.29250986311959e-06,17.065153136954358,9,VBN,1,{'VBN'},0,hearten
boston,1,7.29250986311959e-06,17.065153136954358,6,NNP,1,{'NNP'},0,boston
fourfold,1,7.29250986311959e-06,17.065153136954358,8,RB,1,{'RB'},0,fourfold
unknowing,1,7.29250986311959e-06,17.065153136954358,9,JJ,1,{'JJ'},0,unknow
sings,1,7.29250986311959e-06,17.065153136954358,5,VBZ,1,{'VBZ'},0,sing
pushes,1,7.29250986311959e-06,17.065153136954358,6,VBZ,1,{'VBZ'},0,push
settler,1,7.29250986311959e-06,17.065153136954358,7,NN,1,{'NN'},0,settler
alamo,1,7.29250986311959e-06,17.065153136954358,5,NNP,1,{'NNP'},0,alamo
ponders,1,7.29250986311959e-06,17.065153136954358,7,NNS,1,{'NNS'},0,ponder
paces,1,7.29250986311959e-06,17.065153136954358,5,VBZ,1,{'VBZ'},0,pace
lonely,1,7.29250986311959e-06,17.065153136954358,6,JJ,1,{'JJ'},0,lone
snow,1,7.29250986311959e-06,17.065153136954358,4,NN,1,{'NN'},0,snow
knees,1,7.29250986311959e-06,17.065153136954358,5,NNS,1,{'NNS'},0,knee
unfurling,1,7.29250986311959e-06,17.065153136954358,9,VBG,1,{'VBG'},0,unfurl
ribbon,1,7.29250986311959e-06,17.065153136954358,6,NN,1,{'NN'},0,ribbon
transcends,1,7.29250986311959e-06,17.065153136954358,10,NNS,1,{'NNS'},0,transcend
staunchest,1,7.29250986311959e-06,17.065153136954358,10,JJS,1,{'JJS'},0,staunchest
self-determination,1,7.29250986311959e-06,17.065153136954358,18,NN,1,{'NN'},0,self-determin
disadvantaged,1,7.29250986311959e-06,17.065153136954358,13,VBD,1,{'VBD'},0,disadvantag
upgrade,1,7.29250986311959e-06,17.065153136954358,7,VB,1,{'VB'},0,upgrad
handled,1,7.29250986311959e-06,17.065153136954358,7,VBN,1,{'VBN'},0,handl
government's,1,7.29250986311959e-06,17.065153136954358,12,NNP,1,{'NNP'},0,government'
sending,1,7.29250986311959e-06,17.065153136954358,7,VBG,1,{'VBG'},0,send
well-intentioned,1,7.29250986311959e-06,17.065153136954358,16,JJ,1,{'JJ'},0,well-intent
rode,1,7.29250986311959e-06,17.065153136954358,4,VBP,1,{'VBP'},0,rode
oar,1,7.29250986311959e-06,17.065153136954358,3,NN,1,{'NN'},0,oar
sunset,1,7.29250986311959e-06,17.065153136954358,6,NN,1,{'NN'},0,sunset
1826,1,7.29250986311959e-06,17.065153136954358,4,CD,1,{'CD'},0,1826
reestablished,1,7.29250986311959e-06,17.065153136954358,13,VBN,1,{'VBN'},0,reestablish
anger,1,7.29250986311959e-06,17.065153136954358,5,NN,1,{'NN'},0,anger
softened,1,7.29250986311959e-06,17.065153136954358,8,VBN,1,{'VBN'},0,soften
retired,1,7.29250986311959e-06,17.065153136954358,7,VBN,1,{'VBN'},0,retir
1800,1,7.29250986311959e-06,17.065153136954358,4,CD,1,{'CD'},0,1800
rivals,1,7.29250986311959e-06,17.065153136954358,6,NNS,1,{'NNS'},0,rival
dared,1,7.29250986311959e-06,17.065153136954358,5,VBD,1,{'VBD'},0,dare
hall,1,7.29250986311959e-06,17.065153136954358,4,NNP,1,{'NNP'},0,hall
adams,1,7.29250986311959e-06,17.065153136954358,5,NNP,1,{'NNP'},0,adam
futile,1,7.29250986311959e-06,17.065153136954358,6,JJ,1,{'JJ'},0,futil
bloated,1,7.29250986311959e-06,17.065153136954358,7,JJ,1,{'JJ'},0,bloat
prescription,1,7.29250986311959e-06,17.065153136954358,12,NN,1,{'NN'},0,prescript
poetry,1,7.29250986311959e-06,17.065153136954358,6,NN,1,{'NN'},0,poetri
freezing,1,7.29250986311959e-06,17.065153136954358,8,JJ,1,{'JJ'},0,freez
staff,1,7.29250986311959e-06,17.065153136954358,5,NN,1,{'NN'},0,staff
reckoning,1,7.29250986311959e-06,17.065153136954358,9,VBG,1,{'VBG'},0,reckon
deficits,1,7.29250986311959e-06,17.065153136954358,8,NNS,1,{'NNS'},0,deficit
tool,1,7.29250986311959e-06,17.065153136954358,4,NN,1,{'NN'},0,tool
dynamic,1,7.29250986311959e-06,17.065153136954358,7,JJ,1,{'JJ'},0,dynam
simplify,1,7.29250986311959e-06,17.065153136954358,8,VB,1,{'VB'},0,simplifi
reelected,1,7.29250986311959e-06,17.065153136954358,9,VBN,1,{'VBN'},0,reelect
entrepreneurial,1,7.29250986311959e-06,17.065153136954358,15,JJ,1,{'JJ'},0,entrepreneuri
incentives,1,7.29250986311959e-06,17.065153136954358,10,NNS,1,{'NNS'},0,incent
straight,1,7.29250986311959e-06,17.065153136954358,8,JJ,1,{'JJ'},0,straight
25,1,7.29250986311959e-06,17.065153136954358,2,CD,1,{'CD'},0,25
vindicated,1,7.29250986311959e-06,17.065153136954358,10,VBN,1,{'VBN'},0,vindic
1984,1,7.29250986311959e-06,17.065153136954358,4,CD,1,{'CD'},0,1984
big-hearted,1,7.29250986311959e-06,17.065153136954358,11,JJ,1,{'JJ'},0,big-heart
daring,1,7.29250986311959e-06,17.065153136954358,6,VBG,1,{'VBG'},0,dare
sing,1,7.29250986311959e-06,17.065153136954358,4,VBG,1,{'VBG'},0,sing
demoralization,1,7.29250986311959e-06,17.065153136954358,14,NN,1,{'NN'},0,demor
dissension,1,7.29250986311959e-06,17.065153136954358,10,NN,1,{'NN'},0,dissens
fiscally,1,7.29250986311959e-06,17.065153136954358,8,RB,1,{'RB'},0,fiscal
thrashed,1,7.29250986311959e-06,17.065153136954358,8,VBN,1,{'VBN'},0,thrash
pitching,1,7.29250986311959e-06,17.065153136954358,8,NN,1,{'NN'},0,pitch
rewarding,1,7.29250986311959e-06,17.065153136954358,9,VBG,1,{'VBG'},0,reward
organizations,1,7.29250986311959e-06,17.065153136954358,13,NNS,1,{'NNS'},0,organ
stewardship,1,7.29250986311959e-06,17.065153136954358,11,JJ,1,{'JJ'},0,stewardship
unfocused,1,7.29250986311959e-06,17.065153136954358,9,JJ,1,{'JJ'},0,unfocus
harnessing,1,7.29250986311959e-06,17.065153136954358,10,VBG,1,{'VBG'},0,har
gets,1,7.29250986311959e-06,17.065153136954358,4,VBZ,1,{'VBZ'},0,get
hands-on,1,7.29250986311959e-06,17.065153136954358,8,JJ,1,{'JJ'},0,hands-on
activism,1,7.29250986311959e-06,17.065153136954358,8,NN,1,{'NN'},0,activ
allocating,1,7.29250986311959e-06,17.065153136954358,10,VBG,1,{'VBG'},0,alloc
wallet,1,7.29250986311959e-06,17.065153136954358,6,VB,1,{'VB'},0,wallet
rough,1,7.29250986311959e-06,17.065153136954358,5,JJ,1,{'JJ'},0,rough
divisiveness,1,7.29250986311959e-06,17.065153136954358,12,NN,1,{'NN'},0,divis
untrusting,1,7.29250986311959e-06,17.065153136954358,10,VBG,1,{'VBG'},0,untrust
cleaves,1,7.29250986311959e-06,17.065153136954358,7,VBZ,1,{'VBZ'},0,cleav
marble,1,7.29250986311959e-06,17.065153136954358,6,JJ,1,{'JJ'},0,marbl
inescapably,1,7.29250986311959e-06,17.065153136954358,11,RB,1,{'RB'},0,inescap
continuum,1,7.29250986311959e-06,17.065153136954358,9,NN,1,{'NN'},0,continuum
hymns,1,7.29250986311959e-06,17.065153136954358,5,NN,1,{'NN'},0,hymn
understandable,1,7.29250986311959e-06,17.065153136954358,14,JJ,1,{'JJ'},0,understand
subtlety,1,7.29250986311959e-06,17.065153136954358,8,NN,1,{'NN'},0,subtleti
compliment,1,7.29250986311959e-06,17.065153136954358,10,NN,1,{'NN'},0,compliment
spiral,1,7.29250986311959e-06,17.065153136954358,6,JJ,1,{'JJ'},0,spiral
sundered,1,7.29250986311959e-06,17.065153136954358,8,VBN,1,{'VBN'},0,sunder
unaccounted,1,7.29250986311959e-06,17.065153136954358,11,VBN,1,{'VBN'},0,unaccount
fist,1,7.29250986311959e-06,17.065153136954358,4,NN,1,{'NN'},0,fist
reluctant,1,7.29250986311959e-06,17.065153136954358,9,JJ,1,{'JJ'},0,reluct
bicker,1,7.29250986311959e-06,17.065153136954358,6,VB,1,{'VB'},0,bicker
clocks,1,7.29250986311959e-06,17.065153136954358,6,NNS,1,{'NNS'},0,clock
bipartisanship,1,7.29250986311959e-06,17.065153136954358,14,NN,1,{'NN'},0,bipartisanship
slums,1,7.29250986311959e-06,17.065153136954358,5,NNS,1,{'NNS'},0,slum
addiction,1,7.29250986311959e-06,17.065153136954358,9,NN,1,{'NN'},0,addict
1989,1,7.29250986311959e-06,17.065153136954358,4,CD,1,{'CD'},0,1989
enslavement,1,7.29250986311959e-06,17.065153136954358,11,NN,1,{'NN'},0,enslav
lifeless,1,7.29250986311959e-06,17.065153136954358,8,JJ,1,{'JJ'},0,lifeless
blown,1,7.29250986311959e-06,17.065153136954358,5,VBN,1,{'VBN'},0,blown
yields,1,7.29250986311959e-06,17.065153136954358,6,VBZ,1,{'VBZ'},0,yield
heavenly,1,7.29250986311959e-06,17.065153136954358,8,RB,1,{'RB'},0,heavenli
suspended,1,7.29250986311959e-06,17.065153136954358,9,VBN,1,{'VBN'},0,suspend
porch,1,7.29250986311959e-06,17.065153136954358,5,NN,1,{'NN'},0,porch
stunning,1,7.29250986311959e-06,17.065153136954358,8,JJ,1,{'JJ'},0,stun
concrete,1,7.29250986311959e-06,17.065153136954358,8,JJ,1,{'JJ'},0,concret
gladdened,1,7.29250986311959e-06,17.065153136954358,9,VBN,1,{'VBN'},0,gladden
bicentennial,1,7.29250986311959e-06,17.065153136954358,12,JJ,1,{'JJ'},0,bicentenni
reagan,1,7.29250986311959e-06,17.065153136954358,6,NNP,1,{'NNP'},0,reagan
michel,1,7.29250986311959e-06,17.065153136954358,6,NNP,1,{'NNP'},0,michel
wright,1,7.29250986311959e-06,17.065153136954358,6,NNP,1,{'NNP'},0,wright
mitchell,1,7.29250986311959e-06,17.065153136954358,8,NNP,1,{'NNP'},0,mitchel
quayle,1,7.29250986311959e-06,17.065153136954358,6,NNP,1,{'NNP'},0,quayl
tree,1,7.29250986311959e-06,17.065153136954358,4,NN,1,{'NN'},0,tree
thick,1,7.29250986311959e-06,17.065153136954358,5,JJ,1,{'JJ'},0,thick
fog,1,7.29250986311959e-06,17.065153136954358,3,NN,1,{'NN'},0,fog
stayed,1,7.29250986311959e-06,17.065153136954358,6,VBD,1,{'VBD'},0,stay
roaming,1,7.29250986311959e-06,17.065153136954358,7,VBG,1,{'VBG'},0,roam
gentler,1,7.29250986311959e-06,17.065153136954358,7,VB,1,{'VB'},0,gentler
kinder,1,7.29250986311959e-06,17.065153136954358,6,VB,1,{'VB'},0,kinder
finer,1,7.29250986311959e-06,17.065153136954358,5,NN,1,{'NN'},0,finer
silk,1,7.29250986311959e-06,17.065153136954358,4,NN,1,{'NN'},0,silk
quieter,1,7.29250986311959e-06,17.065153136954358,7,NN,1,{'NN'},0,quieter
car,1,7.29250986311959e-06,17.065153136954358,3,NN,1,{'NN'},0,car
mists,1,7.29250986311959e-06,17.065153136954358,5,NNS,1,{'NNS'},0,mist
appreciative,1,7.29250986311959e-06,17.065153136954358,12,JJ,1,{'JJ'},0,appreci
enthralled,1,7.29250986311959e-06,17.065153136954358,10,VBD,1,{'VBD'},0,enthral
loudly,1,7.29250986311959e-06,17.065153136954358,6,RB,1,{'RB'},0,loudli
don't,1,7.29250986311959e-06,17.065153136954358,5,VBP,1,{'VBP'},1,don't
invent,1,7.29250986311959e-06,17.065153136954358,6,VB,1,{'VB'},0,invent
reveal,1,7.29250986311959e-06,17.065153136954358,6,VB,1,{'VB'},0,reveal
lawyer,1,7.29250986311959e-06,17.065153136954358,6,NN,1,{'NN'},0,lawyer
two-party,1,7.29250986311959e-06,17.065153136954358,9,NN,1,{'NN'},0,two-parti
prince,1,7.29250986311959e-06,17.065153136954358,6,NN,1,{'NN'},0,princ
cabbies,1,7.29250986311959e-06,17.065153136954358,7,NNS,1,{'NNS'},0,cabbi
shopkeepers,1,7.29250986311959e-06,17.065153136954358,11,NNS,1,{'NNS'},0,shopkeep
industrialists,1,7.29250986311959e-06,17.065153136954358,14,NNS,1,{'NNS'},0,industrialist
professionals,1,7.29250986311959e-06,17.065153136954358,13,NNS,1,{'NNS'},0,profession
patrol,1,7.29250986311959e-06,17.065153136954358,6,VB,1,{'VB'},0,patrol
untended,1,7.29250986311959e-06,17.065153136954358,8,VBD,1,{'VBD'},0,untend
singled,1,7.29250986311959e-06,17.065153136954358,7,VBD,1,{'VBD'},0,singl
solutions,1,7.29250986311959e-06,17.065153136954358,9,NNS,1,{'NNS'},0,solut
someone,1,7.29250986311959e-06,17.065153136954358,7,NN,1,{'NN'},0,someon
elite,1,7.29250986311959e-06,17.065153136954358,5,JJ,1,{'JJ'},0,elit
self-rule,1,7.29250986311959e-06,17.065153136954358,9,NN,1,{'NN'},0,self-rul
bastion,1,7.29250986311959e-06,17.065153136954358,7,NN,1,{'NN'},0,bastion
borrowing,1,7.29250986311959e-06,17.065153136954358,9,VBG,1,{'VBG'},0,borrow
mortgaging,1,7.29250986311959e-06,17.065153136954358,10,VBG,1,{'VBG'},0,mortgag
indignity,1,7.29250986311959e-06,17.065153136954358,9,NN,1,{'NN'},0,indign
causing,1,7.29250986311959e-06,17.065153136954358,7,VBG,1,{'VBG'},0,caus
clerks,1,7.29250986311959e-06,17.065153136954358,6,NNS,1,{'NNS'},0,clerk
truckdrivers,1,7.29250986311959e-06,17.065153136954358,12,NNS,1,{'NNS'},0,truckdriv
poised,1,7.29250986311959e-06,17.065153136954358,6,VBN,1,{'VBN'},0,pois
breed,1,7.29250986311959e-06,17.065153136954358,5,NN,1,{'NN'},0,breed
roadblocks,1,7.29250986311959e-06,17.065153136954358,10,NNS,1,{'NNS'},0,roadblock
churchill,1,7.29250986311959e-06,17.065153136954358,9,NNP,1,{'NNP'},0,churchil
winston,1,7.29250986311959e-06,17.065153136954358,7,NNP,1,{'NNP'},0,winston
paraphrase,1,7.29250986311959e-06,17.065153136954358,10,VB,1,{'VB'},0,paraphras
makeup,1,7.29250986311959e-06,17.065153136954358,6,NN,1,{'NN'},0,makeup
entrepreneurs,1,7.29250986311959e-06,17.065153136954358,13,NNS,1,{'NNS'},0,entrepreneur
handful,1,7.29250986311959e-06,17.065153136954358,7,NN,1,{'NN'},0,hand
proportionate,1,7.29250986311959e-06,17.065153136954358,13,JJ,1,{'JJ'},0,proportion
smother,1,7.29250986311959e-06,17.065153136954358,7,VB,1,{'VB'},0,smother
ride,1,7.29250986311959e-06,17.065153136954358,4,VB,1,{'VB'},0,ride
work-work,1,7.29250986311959e-06,17.065153136954358,9,NN,1,{'NN'},0,work-work
curb,1,7.29250986311959e-06,17.065153136954358,4,VB,1,{'VB'},0,curb
inventory,1,7.29250986311959e-06,17.065153136954358,9,NN,1,{'NN'},0,inventori
runaway,1,7.29250986311959e-06,17.065153136954358,7,JJ,1,{'JJ'},0,runaway
freeing,1,7.29250986311959e-06,17.065153136954358,7,VBG,1,{'VBG'},0,free
workers,1,7.29250986311959e-06,17.065153136954358,7,NNS,1,{'NNS'},0,worker
shatter,1,7.29250986311959e-06,17.065153136954358,7,VB,1,{'VB'},0,shatter
fixed-income,1,7.29250986311959e-06,17.065153136954358,12,JJ,1,{'JJ'},0,fixed-incom
crushes,1,7.29250986311959e-06,17.065153136954358,7,VBZ,1,{'VBZ'},0,crush
intimidate,1,7.29250986311959e-06,17.065153136954358,10,VB,1,{'VB'},0,intimid
clearcut,1,7.29250986311959e-06,17.065153136954358,8,NN,1,{'NN'},0,clearcut
